# Non-causal filter, M=101, delay=50
# w[k] corresponds to lag = k - 50
w[00] (lag=-50): -0.002961
w[01] (lag=-49): 0.001827
w[02] (lag=-48): 0.005300
w[03] (lag=-47): 0.006626
w[04] (lag=-46): 0.000389
w[05] (lag=-45): -0.003917
w[06] (lag=-44): -0.005540
w[07] (lag=-43): -0.008036
w[08] (lag=-42): -0.009168
w[09] (lag=-41): -0.001162
w[10] (lag=-40): 0.009325
w[11] (lag=-39): 0.013008
w[12] (lag=-38): 0.010235
w[13] (lag=-37): 0.010335
w[14] (lag=-36): 0.001049
w[15] (lag=-35): -0.015249
w[16] (lag=-34): -0.022889
w[17] (lag=-33): -0.015743
w[18] (lag=-32): -0.006681
w[19] (lag=-31): 0.001323
w[20] (lag=-30): 0.021368
w[21] (lag=-29): 0.034889
w[22] (lag=-28): 0.022352
w[23] (lag=-27): 0.004249
w[24] (lag=-26): -0.012522
w[25] (lag=-25): -0.028307
w[26] (lag=-24): -0.046289
w[27] (lag=-23): -0.034737
w[28] (lag=-22): 0.005740
w[29] (lag=-21): 0.025209
w[30] (lag=-20): 0.044559
w[31] (lag=-19): 0.055240
w[32] (lag=-18): 0.040022
w[33] (lag=-17): -0.001451
w[34] (lag=-16): -0.057849
w[35] (lag=-15): -0.060839
w[36] (lag=-14): -0.072625
w[37] (lag=-13): -0.052957
w[38] (lag=-12): 0.031554
w[39] (lag=-11): 0.076600
w[40] (lag=-10): 0.114033
w[41] (lag=-9): 0.061771
w[42] (lag=-8): 0.027524
w[43] (lag=-7): -0.004073
w[44] (lag=-6): -0.129441
w[45] (lag=-5): -0.111068
w[46] (lag=-4): -0.152963
w[47] (lag=-3): -0.071273
w[48] (lag=-2): 0.122835
w[49] (lag=-1): 0.196029
w[50] (lag= 0): 0.528890
w[51] (lag= 1): 0.263650
w[52] (lag= 2): 0.055770
w[53] (lag= 3): -0.061990
w[54] (lag= 4): -0.223701
w[55] (lag= 5): 0.316187
w[56] (lag= 6): -0.067490
w[57] (lag= 7): -0.115951
w[58] (lag= 8): -0.044997
w[59] (lag= 9): 0.263374
w[60] (lag= 10): -0.178504
w[61] (lag= 11): -0.063819
w[62] (lag= 12): 0.075438
w[63] (lag= 13): 0.140782
w[64] (lag= 14): -0.219189
w[65] (lag= 15): 0.036988
w[66] (lag= 16): 0.104307
w[67] (lag= 17): 0.011579
w[68] (lag= 18): -0.178120
w[69] (lag= 19): 0.122430
w[70] (lag= 20): 0.057040
w[71] (lag= 21): -0.070006
w[72] (lag= 22): -0.087781
w[73] (lag= 23): 0.149784
w[74] (lag= 24): -0.021791
w[75] (lag= 25): -0.083544
w[76] (lag= 26): 0.003054
w[77] (lag= 27): 0.117796
w[78] (lag= 28): -0.081642
w[79] (lag= 29): -0.042807
w[80] (lag= 30): 0.055736
w[81] (lag= 31): 0.052775
w[82] (lag= 32): -0.098235
w[83] (lag= 33): 0.012144
w[84] (lag= 34): 0.057733
w[85] (lag= 35): -0.007542
w[86] (lag= 36): -0.071902
w[87] (lag= 37): 0.051265
w[88] (lag= 38): 0.028780
w[89] (lag= 39): -0.034854
w[90] (lag= 40): -0.028770
w[91] (lag= 41): 0.055356
w[92] (lag= 42): -0.008158
w[93] (lag= 43): -0.033465
w[94] (lag= 44): 0.004061
w[95] (lag= 45): 0.034778
w[96] (lag= 46): -0.023047
w[97] (lag= 47): -0.012164
w[98] (lag= 48): 0.015936
w[99] (lag= 49): 0.015529
w[100] (lag= 50): -0.018579
